PassengerId,survived,class,prefix,sex,age,sib_sp,parch,family_size,age_by_class,fare_by_class,group_size,group_type,with_children,set
60,0,3,4,0,0,5,2,8,0,4,2,2,1,train
61,0,3,5,0,0,0,0,1,0,1,0,0,0,train
62,1,1,3,1,2,0,0,1,1,3,1,1,0,train
63,0,1,1,0,2,1,0,2,1,3,1,2,0,train
64,0,3,4,0,0,3,2,6,0,4,2,2,1,train
65,0,1,1,0,2,0,0,1,1,1,0,0,0,train
66,1,3,4,0,0,1,1,3,0,3,1,2,1,train
67,1,2,2,1,1,0,0,1,0,1,0,1,0,train
68,0,3,1,0,0,0,0,1,0,3,0,0,0,train
69,1,3,3,1,0,4,2,7,0,2,2,1,0,train
70,0,3,1,0,1,2,0,3,1,3,1,0,0,train
71,0,2,1,0,1,0,0,1,0,1,0,0,0,train
72,0,3,3,1,0,5,2,8,0,4,2,2,1,train
73,0,2,1,0,0,0,0,1,0,4,2,0,0,train
74,0,3,1,0,1,1,0,2,1,3,1,0,0,train
75,1,3,1,0,1,0,0,1,1,4,2,0,0,train
76,0,3,1,0,1,0,0,1,1,1,0,0,0,train
77,0,3,1,0,1,0,0,1,1,2,0,0,0,train
78,0,3,1,0,1,0,0,1,1,2,0,0,0,train
79,1,2,4,0,0,0,2,3,0,4,1,2,1,train
80,1,3,3,1,1,0,0,1,1,3,1,1,1,train
81,0,3,1,0,0,0,0,1,0,3,0,0,0,train
82,1,3,1,0,1,0,0,1,1,3,0,0,0,train
83,1,3,3,1,0,0,0,1,0,2,0,1,1,train
84,0,1,1,0,1,0,0,1,0,2,1,0,0,train
85,1,2,3,1,0,0,0,1,0,1,0,1,0,train
86,1,3,2,1,2,3,0,4,2,4,1,2,0,train
87,0,3,1,0,0,1,3,5,0,4,2,2,1,train
88,0,3,1,0,1,0,0,1,1,2,0,0,0,train
89,1,1,3,1,0,3,2,6,0,4,2,2,0,train
90,0,3,1,0,0,0,0,1,0,2,0,0,0,train
91,0,3,1,0,1,0,0,1,1,2,0,0,0,train
92,0,3,1,0,0,0,0,1,0,2,0,0,0,train
93,0,1,1,0,2,1,0,2,1,3,1,2,0,train
94,0,3,1,0,1,1,2,4,1,4,1,2,1,train
95,0,3,1,0,2,0,0,1,2,1,0,0,0,train
96,0,3,1,0,1,0,0,1,1,3,0,0,0,train
97,0,1,1,0,2,0,0,1,1,2,0,0,0,train
98,1,1,1,0,0,0,1,2,0,3,1,2,0,train
99,1,2,2,1,2,0,1,2,1,3,1,1,0,train
100,0,2,1,0,2,1,0,2,1,3,1,2,0,train
101,0,3,3,1,1,0,0,1,1,2,0,1,0,train
102,0,3,1,0,1,0,0,1,1,2,0,0,0,train
103,0,1,1,0,0,0,1,2,0,3,1,0,0,train
104,0,3,1,0,2,0,0,1,2,3,0,0,0,train
105,0,3,1,0,2,2,0,3,2,2,1,0,0,train
106,0,3,1,0,1,0,0,1,1,2,0,0,0,train
107,1,3,3,1,0,0,0,1,0,1,0,1,0,train
108,1,3,1,0,1,0,0,1,1,2,0,0,0,train
109,0,3,1,0,2,0,0,1,2,2,0,0,0,train
110,1,3,3,1,0,1,0,2,0,4,1,2,1,train
111,0,1,1,0,2,0,0,1,1,2,1,0,0,train
112,0,3,3,1,0,1,0,2,0,3,1,1,1,train
113,0,3,1,0,0,0,0,1,0,3,0,0,0,train
114,0,3,3,1,0,1,0,2,0,3,1,1,0,train
115,0,3,3,1,0,0,0,1,0,3,1,2,0,train
116,0,3,1,0,0,0,0,1,0,2,0,0,0,train
117,0,3,1,0,2,0,0,1,2,1,0,0,0,train
118,0,2,1,0,1,1,0,2,0,3,1,2,0,train
119,0,1,1,0,1,0,1,2,0,4,1,2,0,train
120,0,3,3,1,0,4,2,7,0,4,2,2,1,train
121,0,2,1,0,0,2,0,3,0,4,2,0,0,train
122,0,3,1,0,1,0,0,1,1,3,0,0,0,train
123,0,2,1,0,2,1,0,2,1,4,1,2,1,train
124,1,2,3,1,2,0,0,1,1,1,0,1,0,train
125,0,1,1,0,2,0,1,2,1,3,1,0,0,train
126,1,3,4,0,0,1,0,2,0,3,1,2,1,train
127,0,3,1,0,1,0,0,1,1,1,0,0,0,train
128,1,3,1,0,1,0,0,1,1,1,0,0,0,train
129,1,3,3,1,0,1,1,3,0,4,1,2,1,train
130,0,3,1,0,2,0,0,1,2,1,0,0,0,train
131,0,3,5,0,2,0,0,1,2,2,0,0,0,train
132,0,3,1,0,0,0,0,1,0,1,0,0,0,train
133,0,3,2,1,2,1,0,2,2,3,1,2,0,train
134,1,2,2,1,1,1,0,2,0,3,1,2,0,train
135,0,2,1,0,1,0,0,1,0,1,0,0,0,train
136,0,2,1,0,0,0,0,1,0,2,0,0,0,train
137,1,1,3,1,0,0,2,3,0,1,1,1,0,train
138,0,1,1,0,2,1,0,2,1,2,1,2,0,train
139,0,3,1,0,0,0,0,1,0,3,1,0,0,train
140,0,1,1,0,1,0,0,1,0,3,1,0,0,train
141,0,3,2,1,0,0,2,3,0,4,1,2,1,train
142,1,3,3,1,0,0,0,1,0,1,0,1,0,train
143,1,3,2,1,1,1,0,2,1,4,1,2,0,train
144,0,3,1,0,0,0,0,1,0,1,0,0,0,train
145,0,2,1,0,0,0,0,1,0,1,0,0,0,train
146,0,2,1,0,0,1,1,3,0,4,1,2,1,train
147,1,3,1,0,1,0,0,1,1,2,0,0,0,train
148,0,3,3,1,0,2,2,5,0,4,2,2,1,train
149,0,2,1,0,2,0,2,3,1,3,1,0,1,train
150,0,2,5,0,2,0,0,1,1,1,0,0,0,train
151,0,2,5,0,2,0,0,1,1,1,0,0,0,train
152,1,1,2,1,0,1,0,2,0,3,1,2,0,train
153,0,3,1,0,2,0,0,1,2,3,0,0,0,train
154,0,3,1,0,2,0,2,3,2,3,1,0,1,train
155,0,3,1,0,1,0,0,1,1,1,0,0,0,train
156,0,1,3,0,2,0,1,2,1,3,1,0,0,train
157,1,3,3,1,0,0,0,1,0,1,0,1,0,train
158,0,3,1,0,1,0,0,1,1,3,0,0,0,train
159,0,3,1,0,1,0,0,1,1,3,0,0,0,train
160,0,3,4,0,0,8,2,11,0,4,2,2,1,train
161,0,3,1,0,2,0,1,2,2,4,1,2,0,train
162,1,2,2,1,2,0,0,1,1,3,1,1,1,train
163,0,3,1,0,1,0,0,1,1,2,0,0,0,train
164,0,3,1,0,0,0,0,1,0,3,0,0,0,train
165,0,3,4,0,0,4,1,6,0,4,2,2,1,train
166,1,3,4,0,0,0,2,3,0,4,1,2,1,train
167,1,1,2,1,1,0,1,2,0,2,1,1,0,train
168,0,3,2,1,2,1,4,6,2,4,2,2,1,train
169,0,1,1,0,2,0,0,1,1,1,0,0,0,train
170,0,3,1,0,1,0,0,1,1,4,2,0,0,train
171,0,1,1,0,2,0,0,1,1,2,0,0,0,train
172,0,3,4,0,0,4,1,6,0,4,2,2,1,train
173,1,3,3,1,0,1,1,3,0,3,1,2,1,train
174,0,3,1,0,0,0,0,1,0,2,0,0,0,train
175,0,1,1,0,2,0,0,1,1,1,0,0,0,train
176,0,3,1,0,0,1,1,3,0,2,1,2,1,train
177,0,3,4,0,0,3,1,5,0,4,2,2,1,train
178,0,1,3,1,2,0,0,1,1,1,0,1,0,train
179,0,2,1,0,1,0,0,1,0,1,0,0,0,train
180,0,3,1,0,2,0,0,1,2,1,1,0,0,train
181,0,3,3,1,0,8,2,11,0,4,2,2,1,train
182,0,2,1,0,2,0,0,1,2,3,0,0,0,train
183,0,3,4,0,0,4,2,7,0,4,2,2,1,train
184,1,2,4,0,0,2,1,4,0,4,1,2,1,train
185,1,3,3,1,0,0,2,3,0,4,1,2,1,train
186,0,1,1,0,2,0,0,1,1,2,0,0,0,train
187,1,3,2,1,0,1,0,2,0,4,1,2,0,train
188,1,1,1,0,2,0,0,1,1,1,0,0,0,train
189,0,3,1,0,2,1,1,3,2,4,1,2,1,train
190,0,3,1,0,2,0,0,1,2,2,0,0,0,train
191,1,2,2,1,1,0,0,1,0,1,0,1,0,train
192,0,2,1,0,0,0,0,1,0,1,0,0,0,train
193,1,3,3,1,0,1,0,2,0,2,1,1,0,train
194,1,2,4,0,0,1,1,3,0,3,1,0,1,train
195,1,1,2,1,2,0,0,1,1,1,0,1,0,train
196,1,1,3,1,2,0,0,1,1,4,1,2,0,train
197,0,3,1,0,1,0,0,1,1,1,0,0,0,train
198,0,3,1,0,2,0,1,2,2,3,1,0,1,train
199,1,3,3,1,0,0,0,1,0,1,0,1,1,train
200,0,2,2,1,1,0,0,1,0,1,0,1,0,train
201,0,3,1,0,1,0,0,1,1,3,0,0,0,train
202,0,3,1,0,1,8,2,11,1,4,2,2,1,train
203,0,3,1,0,2,0,0,1,2,1,0,0,0,train
204,0,3,1,0,2,0,0,1,2,1,0,0,0,train
205,1,3,1,0,0,0,0,1,0,3,0,0,0,train
206,0,3,3,1,0,0,1,2,0,3,1,1,1,train
207,0,3,1,0,1,1,0,2,1,4,1,2,0,train
208,1,3,1,0,1,0,0,1,1,4,1,0,1,train
209,1,3,3,1,0,0,0,1,0,1,0,1,0,train
210,1,1,1,0,2,0,0,1,1,2,0,0,0,train
211,0,3,1,0,1,0,0,1,1,1,0,0,0,train
212,1,2,3,1,2,0,0,1,2,3,1,1,0,train
213,0,3,1,0,0,0,0,1,0,1,0,0,0,train
214,0,2,1,0,1,0,0,1,0,2,0,0,0,train
215,0,3,1,0,1,1,0,2,1,1,1,0,0,train
216,1,1,3,1,1,1,0,2,0,4,1,2,0,train
217,1,3,3,1,1,0,0,1,1,2,0,1,0,train
218,0,2,1,0,2,1,0,2,2,4,1,2,0,train
219,1,1,3,1,1,0,0,1,0,3,1,1,0,train
220,0,2,1,0,1,0,0,1,0,1,0,0,0,train
221,1,3,1,0,0,0,0,1,0,3,0,0,0,train
222,0,2,1,0,1,0,0,1,0,2,0,0,0,train
223,0,3,1,0,2,0,0,1,2,3,0,0,0,train
224,0,3,1,0,1,0,0,1,1,2,0,0,0,train
225,1,1,1,0,2,1,0,2,1,3,1,2,0,train
226,0,3,1,0,0,0,0,1,0,3,0,0,0,train
227,1,2,1,0,0,0,0,1,0,1,1,0,0,train
228,0,3,1,0,0,0,0,1,0,1,0,0,0,train
229,0,2,1,0,0,0,0,1,0,2,0,0,0,train
230,0,3,3,1,0,3,1,5,0,4,2,2,1,train
231,1,1,2,1,2,1,0,2,1,3,1,2,0,train
232,0,3,1,0,1,0,0,1,1,2,0,0,0,train
233,0,2,1,0,2,0,0,1,2,2,0,0,0,train
234,1,3,3,1,0,4,2,7,0,4,2,2,1,train
235,0,2,1,0,1,0,0,1,0,1,0,0,0,train
236,0,3,3,1,0,0,0,1,0,1,0,1,1,train
237,0,2,1,0,2,1,0,2,2,3,1,2,0,train
238,1,2,5,1,0,0,2,3,0,4,1,2,1,train
239,0,2,1,0,0,0,0,1,0,1,0,0,0,train
240,0,2,1,0,2,0,0,1,2,1,0,0,0,train
241,0,3,3,1,0,1,0,2,0,3,1,1,1,train
242,1,3,3,1,0,1,0,2,0,4,1,1,1,train
243,0,2,5,0,1,0,0,1,1,1,0,0,0,train
244,0,3,1,0,0,0,0,1,0,1,0,0,0,train
245,0,3,1,0,1,0,0,1,1,1,0,0,0,train
246,0,1,5,0,2,2,0,3,1,3,1,2,0,train
247,0,3,3,1,1,0,0,1,1,2,0,1,0,train
248,1,2,2,1,1,0,2,3,1,2,1,2,1,train
249,1,1,1,0,2,1,1,3,1,2,1,2,0,train
250,0,2,5,0,2,1,0,2,2,3,1,2,0,train
251,0,3,1,0,1,0,0,1,1,1,0,0,0,train
252,0,3,2,1,1,1,1,3,1,3,1,1,1,train
253,0,1,1,0,2,0,0,1,1,1,0,0,0,train
254,0,3,1,0,1,1,0,2,1,4,1,2,0,train
255,0,3,2,1,2,0,2,3,2,4,1,2,1,train
256,1,3,2,1,1,0,2,3,1,4,1,2,1,train
257,1,1,2,1,1,0,0,1,0,3,1,2,0,train
258,1,1,3,1,1,0,0,1,0,3,1,1,0,train
259,1,1,3,1,2,0,0,1,1,4,1,2,0,train
260,1,2,2,1,2,0,1,2,2,3,1,1,0,train
261,0,3,1,0,1,0,0,1,1,1,0,0,0,train
262,1,3,4,0,0,4,2,7,0,4,2,2,1,train
263,0,1,1,0,2,1,1,3,1,3,1,2,0,train
264,0,1,1,0,2,0,0,1,1,1,0,0,0,train
265,0,3,3,1,0,0,0,1,0,1,0,1,1,train
266,0,2,1,0,2,0,0,1,2,1,0,0,0,train
267,0,3,1,0,0,4,1,6,0,4,2,2,1,train
268,1,3,1,0,1,1,0,2,1,2,1,0,0,train
269,1,1,2,1,2,0,1,2,1,4,1,2,0,train
270,1,1,3,1,2,0,0,1,1,4,1,2,0,train
271,0,1,1,0,2,0,0,1,1,2,1,2,0,train
272,1,3,1,0,1,0,0,1,1,1,1,0,0,train
273,1,2,2,1,2,0,1,2,2,3,1,1,1,train
274,0,1,1,0,2,0,1,2,1,1,1,0,0,train
275,1,3,3,1,0,0,0,1,0,1,0,1,1,train
276,1,1,3,1,2,1,0,2,1,3,1,1,0,train
277,0,3,3,1,2,0,0,1,2,1,0,1,0,train
278,0,2,1,0,2,0,0,1,2,1,1,0,0,train
279,0,3,4,0,0,4,1,6,0,4,2,2,1,train
280,1,3,2,1,2,1,1,3,2,4,1,2,1,train
281,0,3,1,0,2,0,0,1,2,1,0,0,0,train
282,0,3,1,0,1,0,0,1,1,2,0,0,0,train
283,0,3,1,0,0,0,0,1,0,3,0,0,0,train
284,1,3,1,0,0,0,0,1,0,3,0,0,0,train
285,0,1,1,0,2,0,0,1,1,1,0,0,0,train
286,0,3,1,0,2,0,0,1,2,3,0,0,0,train
287,1,3,1,0,1,0,0,1,1,3,0,0,0,train
288,0,3,1,0,0,0,0,1,0,2,0,0,0,train
289,1,2,1,0,2,0,0,1,2,2,0,0,0,train
290,1,3,3,1,0,0,0,1,0,1,0,1,0,train
291,1,1,3,1,1,0,0,1,0,3,1,2,0,train
292,1,1,2,1,0,1,0,2,0,3,1,2,0,train
293,0,2,1,0,2,0,0,1,2,1,0,0,0,train
294,0,3,3,1,1,0,0,1,1,3,0,1,0,train
295,0,3,1,0,1,0,0,1,1,2,0,0,0,train
296,0,1,1,0,2,0,0,1,1,1,0,0,0,train
297,0,3,1,0,0,0,0,1,0,1,0,0,0,train
298,0,1,3,1,0,1,2,4,0,4,2,2,1,train
299,1,1,1,0,2,0,0,1,1,1,0,0,0,train
300,1,1,2,1,2,0,1,2,1,4,1,2,0,train
301,1,3,3,1,0,0,0,1,0,1,0,1,1,train
302,1,3,1,0,1,2,0,3,1,4,1,2,1,train
303,0,3,1,0,0,0,0,1,0,1,1,0,0,train
304,1,2,3,1,1,0,0,1,1,1,0,1,0,train
305,0,3,3,0,0,0,0,1,0,3,0,0,1,train
306,1,1,4,0,0,1,2,4,0,4,2,2,1,train
307,1,1,3,1,2,0,0,1,1,4,1,2,0,train
308,1,1,2,1,0,1,0,2,0,3,1,2,0,train
309,0,2,1,0,1,1,0,2,1,3,1,2,0,train
310,1,1,3,1,1,0,0,1,0,2,1,2,0,train
311,1,1,3,1,1,0,0,1,0,3,1,1,0,train
312,1,1,3,1,0,2,2,5,0,4,2,2,1,train
313,0,2,2,1,1,1,1,3,1,3,1,2,0,train
314,0,3,1,0,1,0,0,1,1,2,0,0,0,train
315,0,2,1,0,2,1,1,3,2,4,1,2,1,train
316,1,3,3,1,1,0,0,1,1,2,0,1,0,train
317,1,2,2,1,1,1,0,2,1,3,1,2,0,train
318,0,2,5,0,2,0,0,1,2,2,0,0,0,train
319,1,1,3,1,1,0,2,3,0,4,1,2,0,train
320,1,1,2,1,2,1,1,3,1,4,2,2,1,train
321,0,3,1,0,0,0,0,1,0,1,0,0,0,train
322,0,3,1,0,1,0,0,1,1,2,0,0,0,train
323,1,2,3,1,1,0,0,1,1,1,0,1,0,train
324,1,2,2,1,0,1,1,3,0,4,1,2,1,train
325,0,3,1,0,1,8,2,11,1,4,2,2,1,train
326,1,1,3,1,2,0,0,1,1,4,1,2,0,train
327,0,3,1,0,2,0,0,1,2,1,0,0,0,train
328,1,2,2,1,2,0,0,1,2,2,0,1,0,train
329,1,3,2,1,1,1,1,3,1,4,1,2,1,train
330,1,1,3,1,0,0,1,2,0,2,1,1,0,train
331,1,3,3,1,0,2,0,3,0,4,1,2,1,train
332,0,1,1,0,2,0,0,1,1,1,0,0,0,train
333,0,1,1,0,2,0,1,2,1,4,1,2,0,train
334,0,3,1,0,0,2,0,3,0,4,1,2,0,train
335,1,1,2,1,1,1,0,2,0,4,1,2,0,train
336,0,3,1,0,1,0,0,1,1,2,0,0,0,train
337,0,1,1,0,1,1,0,2,0,3,1,2,0,train
338,1,1,3,1,2,0,0,1,1,4,2,2,1,train
339,1,3,1,0,2,0,0,1,2,3,0,0,0,train
340,0,1,1,0,2,0,0,1,1,2,0,0,0,train
341,1,2,4,0,0,1,1,3,0,3,1,0,1,train
342,1,1,3,1,1,3,2,6,0,4,2,2,0,train
343,0,2,5,0,1,0,0,1,1,2,0,0,0,train
344,0,2,1,0,1,0,0,1,1,2,0,0,0,train
345,0,2,1,0,2,0,0,1,2,2,0,0,0,train
346,1,2,3,1,1,0,0,1,1,2,0,1,0,train
347,1,2,3,1,2,0,0,1,2,2,0,1,0,train
348,1,3,2,1,0,1,0,2,0,4,1,2,0,train
349,1,3,4,0,0,1,1,3,0,4,1,2,1,train
350,0,3,1,0,2,0,0,1,2,3,0,0,0,train
351,0,3,1,0,0,0,0,1,0,3,0,0,0,train
352,0,1,3,0,2,0,0,1,1,2,0,0,0,train
353,0,3,1,0,0,1,1,3,0,1,1,0,1,train
354,0,3,1,0,1,1,0,2,1,4,1,2,0,train
355,0,3,1,0,1,0,0,1,1,1,0,0,0,train
356,0,3,1,0,1,0,0,1,1,3,0,0,0,train
357,1,1,3,1,0,0,1,2,0,2,1,1,0,train
358,0,2,3,1,2,0,0,1,2,2,0,1,0,train
359,1,3,3,1,0,0,0,1,0,2,0,1,1,train
360,1,3,3,1,0,0,0,1,0,2,0,1,1,train
361,0,3,1,0,2,1,4,6,2,4,2,2,1,train
362,0,2,1,0,1,1,0,2,1,4,1,2,0,train
363,0,3,2,1,2,0,1,2,2,3,1,1,0,train
364,0,3,1,0,2,0,0,1,2,1,0,0,0,train
365,0,3,1,0,1,1,0,2,1,4,1,2,0,train
366,0,3,1,0,1,0,0,1,1,1,0,0,0,train
367,1,1,2,1,2,1,0,2,1,3,1,2,0,train
368,1,3,2,1,0,0,0,1,0,1,0,1,0,train
369,1,3,3,1,0,0,0,1,0,1,0,1,1,train
370,1,1,3,1,1,0,0,1,0,3,1,1,0,train
371,1,1,1,0,1,1,0,2,0,2,1,2,0,train
372,0,3,1,0,0,1,0,2,0,1,1,0,0,train
373,0,3,1,0,0,0,0,1,0,3,0,0,0,train
374,0,1,1,0,0,0,0,1,0,4,1,2,0,train
375,0,3,3,1,0,3,1,5,0,4,2,2,1,train
376,1,1,2,1,1,1,0,2,0,3,1,2,0,train
377,1,3,3,1,0,0,0,1,0,1,0,1,0,train
378,0,1,1,0,1,0,2,3,0,4,2,2,0,train
379,0,3,1,0,0,0,0,1,0,1,0,0,0,train
380,0,3,1,0,0,0,0,1,0,2,0,0,0,train
381,1,1,3,1,2,0,0,1,1,4,2,2,0,train
382,1,3,3,1,0,0,2,3,0,4,1,2,1,train
383,0,3,1,0,1,0,0,1,1,2,0,0,0,train
384,1,1,2,1,2,1,0,2,1,2,1,2,0,train
385,0,3,1,0,1,0,0,1,1,2,0,0,0,train
386,0,2,1,0,0,0,0,1,0,4,2,0,0,train
387,0,3,4,0,0,5,2,8,0,4,2,2,1,train
388,1,2,3,1,2,0,0,1,2,2,0,1,0,train
389,0,3,1,0,1,0,0,1,1,1,0,0,0,train
390,1,2,3,1,0,0,0,1,0,1,0,1,0,train
391,1,1,1,0,2,1,2,4,1,4,1,2,1,train
392,1,3,1,0,0,0,0,1,0,2,0,0,0,train
393,0,3,1,0,1,2,0,3,1,2,1,0,0,train
394,1,1,3,1,0,1,0,2,0,4,1,2,0,train
395,1,3,2,1,1,0,2,3,1,4,1,1,1,train
396,0,3,1,0,0,0,0,1,0,2,0,0,0,train
397,0,3,3,1,1,0,0,1,1,2,0,1,0,train
398,0,2,1,0,2,0,0,1,2,3,1,0,0,train
399,0,2,5,0,0,0,0,1,0,1,0,0,0,train
400,1,2,2,1,1,0,0,1,1,1,0,1,0,train
401,1,3,1,0,2,0,0,1,2,2,0,0,0,train
402,0,3,3,0,1,0,0,1,1,3,0,0,0,train
403,0,3,3,1,0,1,0,2,0,3,1,1,0,train
404,0,3,1,0,1,1,0,2,1,4,1,2,0,train
405,0,3,3,1,0,0,0,1,0,3,0,1,0,train
406,0,2,1,0,2,1,0,2,2,3,1,0,0,train
407,0,3,1,0,2,0,0,1,2,1,0,0,0,train
408,1,2,4,0,0,1,1,3,0,3,1,2,1,train
409,0,3,1,0,0,0,0,1,0,2,0,0,0,train
410,0,3,3,1,0,3,1,5,0,4,2,2,1,train
411,0,3,1,0,1,0,0,1,1,2,0,0,0,train
412,0,3,1,0,1,0,0,1,1,1,0,0,0,train
413,1,1,3,1,2,1,0,2,1,3,1,2,0,train
414,0,2,1,0,2,0,0,1,2,1,1,0,0,train
415,1,3,1,0,2,0,0,1,2,2,0,0,0,train
416,0,3,2,1,0,0,0,1,0,3,0,1,0,train
417,1,2,5,1,2,1,1,3,2,4,1,2,1,train
418,1,2,3,1,0,0,2,3,0,2,1,1,0,train
419,0,2,1,0,1,0,0,1,1,2,0,0,0,train
420,0,3,3,1,0,0,2,3,0,4,1,2,1,train
421,0,3,1,0,1,0,0,1,1,2,0,0,0,train
422,0,3,1,0,0,0,0,1,0,1,0,0,0,train
423,0,3,1,0,1,0,0,1,1,2,0,0,0,train
424,0,3,2,1,1,1,1,3,1,3,1,2,1,train
425,0,3,1,0,0,1,1,3,0,4,1,2,1,train
426,0,3,1,0,1,0,0,1,1,1,0,0,0,train
427,1,2,2,1,1,1,0,2,1,3,1,2,0,train
428,1,2,2,1,0,0,0,1,0,3,1,2,0,train
429,0,3,1,0,1,0,0,1,1,1,0,0,0,train
430,1,3,1,0,1,0,0,1,1,3,0,0,0,train
431,1,1,1,0,1,0,0,1,0,1,0,0,0,train
432,1,3,2,1,0,1,0,2,0,4,1,2,0,train
433,1,2,2,1,2,1,0,2,2,3,1,2,0,train
434,0,3,1,0,0,0,0,1,0,1,0,0,0,train
435,0,1,1,0,2,1,0,2,1,2,1,2,0,train
436,1,1,3,1,0,1,2,4,0,4,1,2,1,train
437,0,3,3,1,0,2,2,5,0,4,2,2,1,train
438,1,2,2,1,1,2,3,6,1,3,2,2,1,train
439,0,1,1,0,2,1,4,6,1,4,2,2,0,train
440,0,2,1,0,1,0,0,1,1,1,0,0,0,train
441,1,2,2,1,2,1,1,3,2,4,1,2,1,train
442,0,3,1,0,0,0,0,1,0,3,0,0,0,train
443,0,3,1,0,1,1,0,2,1,2,1,0,0,train
444,1,2,3,1,1,0,0,1,1,2,0,1,0,train
445,1,3,1,0,1,0,0,1,1,3,0,0,0,train
446,1,1,4,0,0,0,2,3,0,3,1,2,1,train
447,1,2,3,1,0,0,1,2,0,3,1,1,1,train
448,1,1,1,0,2,0,0,1,1,1,0,0,0,train
449,1,3,3,1,0,2,1,4,0,4,1,1,1,train
450,1,1,5,0,2,0,0,1,1,1,0,0,0,train
451,0,2,1,0,2,1,2,4,2,4,1,2,1,train
452,0,3,1,0,1,1,0,2,1,4,1,0,0,train
453,0,1,1,0,1,0,0,1,0,1,0,0,0,train
454,1,1,1,0,2,1,0,2,1,3,1,2,0,train
455,0,3,1,0,1,0,0,1,1,3,0,0,0,train
456,1,3,1,0,1,0,0,1,1,2,0,0,0,train
457,0,1,1,0,2,0,0,1,1,1,0,0,0,train
458,1,1,2,1,1,1,0,2,0,2,1,2,0,train
459,1,2,3,1,2,0,0,1,2,1,0,1,0,train
460,0,3,1,0,1,0,0,1,1,1,0,0,0,train
461,1,1,1,0,2,0,0,1,1,1,0,0,0,train
462,0,3,1,0,2,0,0,1,2,3,0,0,0,train
